,genes,ci_test_results,z_test_results,z_test_p_values,mean_diff
5635,STAT3,False,True,0.014286822996386063,-10.35495002234481
5636,NEURL4,False,False,0.6313321759398396,-0.9330725317586221
5637,EPHX3,False,False,0.3603877303673818,2.8106476774161733
5638,SCYL2,False,True,0.047486947992802876,-2.258245229206903
5639,NUTF2,False,False,0.7359687990914889,-1.5303382972413715
5640,AGPAT4,True,True,2.898836721045166e-07,-9.549876458143448
5641,CD27,True,True,1.3828624349951135e-09,32.322319985782755
5642,WDR11,True,False,0.08710447145350621,5.374315060186209
5643,RBAK-RBAKDN,False,False,0.748111976632964,0.9827484238820681
5644,STOML3,False,False,0.8222521898340084,0.3372979137586465
5645,RASA3,True,True,2.0286682312156105e-09,-30.958884356068978
5646,AGPAT1,False,False,0.13250666118726034,-5.930109025620695
5647,SNRPD1,False,False,0.3789611024949935,5.998422213793106
5648,SLC41A1,False,False,0.19260805954014182,2.8172205438344804
5649,TNK1,True,False,0.08923397888216485,4.260357354803449
5650,PCDHGA7,False,False,0.6315228436628157,1.2807056706323383
5651,STRIP2,False,False,0.873682836017119,-0.1533941055855177
5652,ZZZ3,False,False,0.6362436101094805,-1.6500149341448278
5653,MS4A8,False,False,0.3626485265776207,2.7599083043294383
5654,TRAPPC8,False,True,0.0349548231413102,-5.198841769227585
5655,SAMD12,False,False,0.5052393429734888,1.9163010329140695
5656,AC243945.1,False,False,0.6351972354688217,1.3716262135083652
5657,CRABP2,False,False,0.30544967397044176,12.705541161488974
5658,ACAA2,True,True,6.176144448857326e-07,-13.31425957655172
5659,OR5P2,False,False,0.5223426749330566,2.060168216392051
5660,TMEM167B,True,True,0.002065248974820697,-3.0622205717448274
5661,VIT,False,False,0.1397981390422769,-1.099747158071493
5662,SELV,False,False,0.43091346063889313,0.8395340132959825
5663,OR5J2,False,False,0.5198519246850803,0.308011072475091
5664,OTUD6A,False,False,0.23691341188791415,0.29809023421245584
5665,ABI2,False,False,0.47050441181117186,-2.316760248282762
5666,FAM186B,False,False,0.9716844113226472,0.05133016523032374
5667,PDDC1,False,False,0.4839109695149827,-1.3732149117586196
5668,ARHGAP28,False,False,0.6553776587276579,0.5788241808644838
5669,TRAPPC12,True,True,0.0037022601616746907,-4.9862456641724044
5670,ANKRD26,False,False,0.9623230195139749,-0.0531511125241364
5671,EGR1,False,False,0.26872461007003,-13.08032275892758
5672,PAGE1,False,False,0.08801954648188633,-5.655515155415067
5673,PLAC8,True,True,1.1687273564784293e-11,-192.2600138945516
5674,CCDC173,False,False,0.5083007322047799,0.4093863479466031
5675,CRH,False,False,0.7708121318470718,0.2688003090494814
5676,LPPR3,False,False,0.5731566821176592,-1.109169492209241
5677,ANKRD39,False,False,0.5843735827445502,-1.3089684843448275
5678,ADGRG4,False,False,0.7632724535347837,-0.34921521286187973
5679,LRRC8E,False,False,0.1923037381102396,-1.2117353820751733
5680,VPS52,False,False,0.5574073405179979,-0.7423176571586154
5681,USP17L24,False,False,0.8725965640137837,0.27595193454514133
5682,NRIP3,False,False,0.7482915217937036,-0.547535072851792
5683,C12orf40,False,False,0.9236231067718155,0.17032304251973862
5684,ADAM2,False,False,0.459088347326843,0.9999747077294953
5685,GPD1,False,False,0.9965568488859579,-0.00904450523544753
5686,DNMBP,True,False,0.09283912883560819,5.138338595962072
5687,PRICKLE2,False,False,0.31719302332260246,-0.5174216154560067
5688,EPN2,False,False,0.09692705636160089,1.437603654365514
5689,MRPS9,False,False,0.8197775893765982,-0.7369133138965509
5690,SAMD14,False,False,0.5915324408476685,1.4650880552468273
5691,SSH1,True,True,1.6450563222384812e-07,-3.4318149055172427
5692,VASH2,False,False,0.13864166612985687,3.524855462159297
5693,GOPC,True,True,1.4158812771908708e-05,-4.259154573220691
5694,BLOC1S4,False,False,0.6323869900726973,1.003401695496553
5695,CITED4,False,False,0.9954941352927239,-0.017000362653311285
5696,ZDHHC11,False,False,0.36698244694024196,0.24680813089455134
5697,SLC14A1,False,False,0.2626325151071397,-1.6926515287353805
5698,RP11-146B14.1,False,False,0.720450080613525,0.4236800119825266
5699,CELSR2,False,False,0.5027335164193316,1.3083751651403435
5700,SERPINA7,False,False,0.5745706686475385,0.2948292232172455
5701,OR10G3,False,False,0.6668213022668252,0.493769192499004
5702,AC011476.15,False,False,0.5161962724991838,-1.4857567935670277
5703,PDGFRL,False,False,0.6650580991770614,-1.6475677151795658
5704,SERPINB1,True,True,3.486441752978163e-07,-15.204315521317234
5705,RSAD1,True,True,4.554619278390894e-06,-4.746356551206901
5706,ZNF121,False,False,0.2638677097149392,1.9465532445862088
5707,MACROD1,False,False,0.43303900087411906,-1.5513314803002753
5708,RBMY1A1,False,True,0.040152841655260826,-4.2654112448311094
5709,TATDN2,True,True,0.017982472921897422,-6.527829869172422
5710,SLC6A14,False,False,0.40453605953991423,1.3567226983382186
5711,PDZD2,False,False,0.5090642588140815,0.2934443788912422
5712,HSFY1,False,False,0.9912134899836613,-0.009270503912546912
5713,SARM1,False,False,0.5515251533557292,1.4379117574172415
5714,OXCT2,True,False,0.11444391958212942,2.2507985494898626
5715,ATG7,False,False,0.8092516711472453,-0.5482652344827592
5716,ZNF620,False,False,0.1947660578822119,-3.245816072551033
5717,USP33,True,True,0.003975703454320625,-7.897480892551727
5718,AF131216.1,False,False,0.6029051195961834,0.6724764780825774
5719,F10,False,False,0.3236647746698218,3.1593032826689735
5720,C9orf89,False,False,0.07010433273427798,-2.8272522875517296
5721,UBR7,False,False,0.7203078161957319,0.8562404100344878
5722,PROSER2,False,False,0.6265329048589318,1.3428240648419862
5723,ZNF169,False,False,0.5614813112493799,0.3210403595724127
5724,PCDHB3,True,False,0.05713410678931264,2.4081049497882363
5725,KIAA0513,True,True,7.206401686647905e-06,-5.83800160902069
5726,RREB1,False,False,0.9094278444065607,-0.3644950641103435
5727,PP2672,False,False,0.603913259200076,0.30084768376881377
5728,FAAP24,False,False,0.8320481300226671,0.2063254047241374
5729,ACADL,False,False,0.39988487491994507,1.904345871559584
5730,KLF16,False,False,0.47537139055262045,-1.220325234448282
5731,KIR2DL1,True,True,8.013728744877171e-14,-17.167948513287406
5732,OR12D2,False,False,0.4786706729126353,0.8490945826795364
5733,POLR3D,False,False,0.8856247022522552,0.18179952802068655
5734,ID1,False,False,0.129329792554006,13.142575131649664
5735,CMTR2,False,True,0.008908106205919109,-5.305889679531031
5736,KRTCAP3,False,False,0.34778355478857936,2.0796469570362754
5737,AF196779.12,False,True,0.01716711972147405,-5.74513954489167
5738,ID4,False,False,0.9145988691872484,-0.13283653765981374
5739,GIMAP7,True,True,2.4621173248019244e-16,-67.16103474238787
5740,PASK,True,True,0.026143666939763992,4.58007187017931
5741,ACYP1,False,False,0.08642709096428783,-2.4733119838413913
5742,LDLR,False,False,0.37939875656797895,-2.7692298985517354
5743,PIM1,True,True,0.00988473005055652,-23.955575081144815
5744,AC007325.1,False,False,0.9988450228516657,0.004559282858622282
5745,SFT2D3,False,False,0.8211337004588332,-0.31649148707743824
5746,CHMP4C,True,False,0.09886906995711142,4.087602496932489
5747,DYNLRB2,False,False,0.3681894442310647,1.6948889413570274
5748,MSL3,False,False,0.10956343019749795,-3.68239967062069
5749,C17orf78,False,False,0.38548425135911146,2.101611158890131
5750,SCN5A,False,True,0.032170765135229755,-3.1884306110552827
5751,SGTA,False,False,0.7884971345867136,0.4530596648965499
5752,MUC13,True,False,0.06820336505854235,5.646284288213725
5753,FGF3,False,False,0.44643201100660435,2.2385786394095213
5754,IL1RAP,False,False,0.6080200131695667,1.8425965527931023
5755,METTL21C,False,False,0.9538681222433462,-0.09877208160753237
5756,CDC42,True,True,4.405595726989722e-05,-30.079606998620704
5757,DNAL4,False,False,0.8227523310570939,0.8517230699034499
5758,GEMIN4,False,False,0.25545907350359176,3.3688845014896565
5759,DYNC2LI1,False,False,0.9318206483292685,-0.2410602038758629
5760,MSANTD3-TMEFF1,False,False,0.6779746301512133,0.41783028948253165
5761,PEX26,False,False,0.9308627901507706,0.19069052925516772
5762,DDX26B,False,False,0.3970590185476175,1.7138049698275868
5763,FGGY,False,False,0.8338934961446421,0.36156829442137983
5764,METTL21B,False,False,0.7834084753547133,0.3307558322599995
5765,CYP4X1,False,False,0.6017966486767978,0.2910239472207383
5766,CCR3,False,False,0.44957508422081505,-3.746396922171323
5767,KRT23,False,True,0.007346082332761456,-8.11264067969638
5768,COQ10A,False,False,0.8886501275681504,-0.3215128117862065
5769,ISCA1,False,False,0.7729542378457328,0.84031635344828
5770,GPR31,False,False,0.8443763687132031,-0.37275213142308994
5771,CCND2,False,False,0.20210475586384535,-7.015049410215177
5772,ORAI1,False,False,0.1917138292745878,-4.684078458103443
5773,VAMP7,False,True,0.028810005358521695,-3.7129924497310327
5774,SLC34A3,False,False,0.9279756463890692,-0.01060012251758602
5775,CYP4F22,False,False,0.5266851848155839,1.1164370084894448
5776,TPCN1,False,False,0.15263653013397188,4.930440519172421
5777,TNFSF15,True,False,0.16103360069153294,3.259938968513808
5778,THG1L,False,False,0.12018947511147925,-2.9773306248758624
5779,CRYGN,False,False,0.28923034219110355,-1.5214163876829883
5780,OR4D5,False,False,0.2094388679138024,-1.5359121059380296
5781,CHCHD1,False,False,0.8621110144174065,0.4433981706896546
5782,FBXL20,False,False,0.05006941024282584,-1.557091020937932
5783,SPRR3,False,False,0.6857414119032623,0.6048361646641143
5784,CERS2,False,False,0.6612866351829481,-3.0880673697930945
5785,KLHL23,False,False,0.47237465791647837,1.8732506530724136
5786,KCTD17,False,False,0.6151744482322066,-1.4280357862965545
5787,MSMB,False,False,0.290377518691022,1.3884955717736307
